2019	83	1.83	0.85
2018	87	2.77	0.88
2017	87	3.13	0.96
2016	91	3.02	1.00
2015	103	2.70	0.84
2014	103	3.76	1.03
2013	103	4.38	1.08
2012	103	3.79	0.95
2011	104	3.43	0.86
2010	104	7.35	1.65
2009	104	3.28	0.76
2008	104	3.18	0.72
2007	104	3.83	0.77
2006	104	4.12	0.90
2005	104	4.24	0.92
2004	104	4.38	0.92
2003	102	4.70	0.99
2002	102	5.49	0.99
2001	103	5.39	1.01
2000	103	5.79	1.00
1999	103	5.45	0.97
1998	103	5.81	1.03
1997	103	5.23	0.90
1996	100	4.10	0.78
1995	99	6.33	1.08
1994	99	4.38	0.80
1993	97	4.33	0.80
1992	93	5.96	1.17
1991	89	4.15	0.95
1990	89	3.93	0.89
1989	85	3.56	0.73
1988	81	4.25	0.82
1987	80	7.04	1.34
1986	69	5.38	1.09
1985	62	4.80	0.98
1984	60	3.73	0.84
1983	53	3.35	0.94
1982	51	3.55	0.95
1981	51	3.68	0.99
1980	44	2.96	0.80
1979	37	4.11	1.15
1978	34	2.57	0.76
1977	28	2.28	0.90
1976	26	2.06	0.97
1975	26	1.11	0.50
1974	26	1.59	0.84
1973	22	1.73	0.88
1972	22	1.79	0.90
1971	22	1.78	0.86
1970	22	2.07	0.90
1969	22	3.66	1.78
1968	20	1.82	0.82
1967	20	1.32	0.56
1966	18	1.85	0.64
1965	18	1.62	0.63
1964	18	1.79	0.75
1963	18	4.83	1.93
1962	18	1.82	0.72
1961	18	2.02	0.80
1960	18	2.65	0.96
1959	18	2.80	1.16
1958	18	2.32	1.11
1957	16	2.88	1.29
1956	16	1.36	0.89
1955	16	1.17	0.80
1954	16	0.67	0.53
1953	16	0.99	0.94
1952	16	0.90	0.82
1951	16	1.16	1.06
1950	17	0.99	0.81
1949	16	0.70	0.89
1948	16	0.81	1.05
1947	16	0.60	0.89
1946	16	0.56	0.82
1945	16	1.23	1.53
1944	16	0.73	0.92
1943	16	0.61	0.74
1942	16	0.68	0.79
1941	16	0.85	1.01
1940	16	0.69	0.83
1939	16	1.03	1.03
1938	16	1.25	1.23
1937	16	0.62	0.88
1936	16	0.63	0.74
1935	16	0.58	0.62
1934	16	0.91	1.09
1933	16	0.73	0.85
1932	16	0.88	1.00
1931	16	1.03	1.13
1930	16	0.83	0.81
1929	16	0.79	0.85
1928	16	0.84	0.86
1927	16	0.97	1.10
1926	16	1.02	1.14
1925	16	0.78	0.80
1924	16	0.83	0.81
1923	15	0.79	0.77
1922	12	1.30	1.07
1921	12	1.88	1.51
1920	12	0.92	0.96
1919	12	1.16	1.12
1918	12	0.68	0.74
1917	10	0.87	0.90
1916	5	0.45	0.56
1915	5	0.60	0.78
1914	5	0.74	1.34
1913	5	0.83	1.12
1912	5	0.47	0.53
1911	5	0.76	0.84
1910	6	1.16	1.14
1909	6	1.21	0.96
1908	6	0.80	0.94
1907	6	0.94	1.10
1906	6	0.79	0.77
1905	6	0.64	0.67
1904	6	1.07	1.20
1903	6	0.88	0.93
1902	4	0.85	0.64
1901	4	0.60	0.78
1900	4	1.13	1.64
1899	4	0.89	1.25
1898	4	0.55	0.74
1897	4	0.59	0.86
1896	4	0.74	1.21
1895	4	0.59	0.99
1894	4	0.44	0.68
1893	4	0.53	1.05
1892	4	0.75	1.32
1891	4	0.28	0.61
1890	4	0.64	1.27
1889	4	0.40	0.48
1888	4	0.46	0.76
1887	4	0.53	0.84
1886	4	0.59	0.68
1885	4	0.53	0.68
1884	4	0.69	0.94
1883	4	1.18	1.62
1882	4	0.77	1.08
1881	4	0.91	1.25
1880	4	0.68	0.86
1879	4	0.53	0.71
1878	4	0.39	0.55
1877	4	1.27	1.70
1876	4	0.65	0.89
1875	4	0.75	0.78
1874	4	0.84	1.14
1873	4	0.69	0.91
1872	4	0.56	0.78
1871	4	0.76	1.03
1870	4	0.68	0.93
1869	4	0.81	1.05
1868	4	0.61	0.69
1867	4	0.97	1.21
1866	4	0.96	1.06
1865	4	0.94	0.89
1864	4	0.93	0.81
1863	3	0.74	0.56
1862	2	1.23	1.32
1861	2	0.70	0.55
1860	2	2.10	1.59
